795,"栗林 ",5700
796,"白鳥 ",5681
797,"結城 ",5673
798,"丹野 ",5670
799,"上杉 ",5667
800,"川西 ",5660
801,"玉置 ",5660
802,"赤坂 ",5656
803,"板橋 ",5654
804,"瀬尾 ",5652
805,"青野 ",5651
806,"西島 ",5639
807,"首藤 ",5635
808,"尾上 ",5630
809,"永島 ",5612
810,"合田 ",5605
811,"清田 ",5595
812,"井原 ",5595
813,"中澤 ",5574
814,"須賀 ",5565
815,"宮坂 ",5564
816,"勝又 ",5545
817,"西脇 ",5544
818,"坂野 ",5542
819,"北 ",5535
820,"横尾 ",5528
821,"森口 ",5513
822,"竹原 ",5512
823,"久米 ",5511
824,"妹尾 ",5494
825,"大下 ",5478
826,"池本 ",5455
827,"芦田 ",5450
828,"三枝 ",5447
829,"本村 ",5414
830,"脇田 ",5413
831,"浜 ",5406
832,"柏原 ",5393
833,"川越 ",5384
834,"小久保 ",5372
835,"大林 ",5364
836,"水島 ",5358
837,"有賀 ",5356
838,"手島 ",5330
839,"日比野 ",5327
840,"楠本 ",5324
841,"小堀 ",5323
842,"田端 ",5319
843,"志田 ",5317
844,"島津 ",5301
845,"今 ",5300
846,"滝川 ",5293
847,"明石 ",5292
848,"沢井 ",5278
849,"谷村 ",5243
850,"浦野 ",5238
851,"横川 ",5232
852,"国分 ",5229
853,"梅村 ",5224
854,"坂東 ",5219
855,"楠 ",5218
856,"本橋 ",5216
857,"柳川 ",5206
858,"飛田 ",5205
859,"江原 ",5190
860,"春日 ",5175
861,"大和 ",5170
862,"岡山 ",5152
863,"内村 ",5147
864,"角谷 ",5145
865,"笹川 ",5140
866,"桑田 ",5131
867,"花岡 ",5129
868,"富山 ",5125
869,"寺沢 ",5104
870,"東海林 ",5095
871,"白木 ",5086
872,"益田 ",5084
873,"小栗 ",5082
874,"前島 ",5071
875,"砂川 ",5066
876,"梅沢 ",5064
877,"曽我 ",5053
878,"中塚 ",5039
879,"吉崎 ",5038
880,"石倉 ",5037
881,"森永 ",5028
882,"大嶋 ",5024
883,"高畑 ",5018
884,"児島 ",5011
885,"勝田 ",5005
886,"前野 ",5000
887,"小菅 ",4999
888,"沖 ",4988
889,"浅沼 ",4982
890,"柴山 ",4974
891,"桜田 ",4973
892,"平良 ",4970
893,"玉木 ",4965
894,"井本 ",4965
895,"滝 ",4961
896,"高谷 ",4961
897,"島袋 ",4953
898,"沖田 ",4915
899,"会田 ",4912
900,"塩見 ",4884
901,"熊田 ",4883
902,"大浦 ",4882
903,"本山 ",4864
904,"黒崎 ",4860
